,Complaint,Complaint Catagory
63,"Comcast - Failure To Provide Service, Refusal To Void Contract",Billing
64,Spotty Comcast Service,Network
65,Without Service Despite Willingness To Pay,Billing
66,Issues With Xfinity/Comcast,Other
67,Cable Modem Rent For Internet Access,Internet
68,Comcast/Xfinity,Other
69,Speed Issues,Internet
70,At&T,Other
71,Fraudulent Claims Reported To Collections Agency,Other
72,Comcast Using A Data Cap To Take However Much Money They Like,Network
73,Comcast Data Cap,Network
74,Speed Of Service,Internet
75,Comcast'S Monopolistic Practices And Data Capping,Network
76,"Comcast Data Cap ""Trials""",Network
77,Comcast Billing Problem,Billing
78,Comcast Needs Competition,Other
79,Comcast Services/Billing Issues,Billing
80,Incorrect Bill,Billing
81,Legality Of Data Caps,Network
82,Data Caps,Network
83,Comcast Added Service After I Declined It,Network
84,Comcast Misled With Overage Policy,Other
85,Cable Service And Telephone Connect Not Complete,Internet
86,Comcast Data Cap,Network
87,Comcast Won'T Cancel My Service,Network
88,Data Caps,Network
89,Comcast Disconnecting Service Before Due Date,Network
90,Comcast Data Cap,Network
91,Comcast,Other
92,Unbelievable Treatment,Other
93,Denial Of Comcast Business (Phone And Internet) Service To My Dental Practice,Internet
94,Comcast'S Terrible Service - How Are They Still In Business?,Network
95,They Are Forcing Me For My Bank Account Information By Suspending My Services For No Reason (I Also Feel Like They Are Committing Corporate Theft).,Billing
96,Comcast Discontinuation Of Service Issue,Network
97,Comcast Customer Service,Network
98,Comcast,Other
99,"Comcast Bandwidth Data Caps In Atlanta, Ga",Network
100,Comcast Won'T Quit Charging Me For Modem Rental,Internet
101,Comcast Download Caps,Network
102,Horrible Comcast Customer Service,Network
103,Data Cap,Network
104,Bad Customer Service,Network
105,Disconnection Of Service,Internet
106,Comcast Data Usage Charges,Billing
107,Comcast Refuses Service To My Address,Network
108,Comcast Will Not Let Me Discuss My Bill Or Service With A Representative,Billing
109,Comcast Billing Frauds,Billing
110,Comcast Tv/Internet Hookup,Internet
111,No Service For 5+ Days,Network
112,Comcast - Billing,Billing
113,Comcast Internet,Internet
114,Comcast Speed Integrity,Internet
115,Data Cap,Network
116,Comcast Atlanta Data Caps,Network
117,Comcast Atlanta Data Caps,Network
118,Comcast Poor Customer Service,Network
119,Overage On 300Gb Data Plan With Comcast,Network
120,Comcast Bill,Billing
121,Comcast Data Cap,Network
122,Unfair Billing Practices,Billing
123,Comcast Data Caps,Network
124,Comcast Refusing To Honor Internet Rate,Internet
125,Speed,Internet
126,Not Acceptable Internet Additional Charge.,Internet
127,Comcast Internet And Cable Service,Internet
128,"Comcast Deceptive Advertising, Overage Charges",Billing
129,Comcast Data Caps,Network
130,Comcast: Xfinity Slamming,Other
131,Comcast Support Unable To Provide Accurate Information,Billing
132,Comcast Data Usage Limits,Network
133,Repeated Erroneous Modem Rental Charge,Internet
134,Xfinity Pricing,Billing
135,Comcast Monopoly,Other
136,Internet Connection Both Upload And Download Speeds,Internet
137,Internet Availability,Internet
138,"Comcast ""50 Mb/S"" Speed And Throttling",Internet
139,Complaint Against Comcast,Grievance
140,Comcast,Other
141,Comcast (Xfinity) Monopolistic Billing Practices,Billing
142,Internet Throttling,Internet
143,Data Usage Overage,Network
144,Double Billing After Change Of Service,Billing
145,Bandwidth Caps Becoming Excessive,Network
146,Comcast Data Limits,Network
147,Unable To Cancel Xfinity Home Security,Other
148,Comcast Trying To Setup Stuff We Didn'T Order,Other
149,Terrible Waiting Times,Network
150,Incorrect Prices For New Customers,Billing
151,Comcast Is Throttling My Internet,Internet
152,Internet Pricing,Internet
153,Misc. Charges,Billing
154,Comast Data Cap,Network
155,Comcast Throttles Internet,Internet
156,Throttling,Internet
157,Forced Bundling Of Internet Service With Catv,Internet
158,Comcast Internet,Internet
159,Failure To Deliver Service,Network
160,Comcast Hbo Go Ps4 App,Other
161,Comcast'S Refusal To Recognize Written Notice Of Termination Of Service,Network
162,Rates,Billing
163,Termination Fee,Billing
164,Comcast Internet/Cable,Internet
165,I Am Being Charge Double For My Cable Bill.,Internet
166,Repeated Comcast Billing Issues,Billing
167,Unauthorized Comcast Username Setup,Other
168,Services Turned Off In Retaliation For Complaints,Network
169,Comcast Does Not Disclose The Internet Speed I'M Paying For Anywhere On My Bill Or Online,Internet
170,Internet Speeds Disclosure On Bill,Internet
171,Internet Speed Not Disclosed,Internet
172,Intermittent Service,Network
173,Comcast Billing Practices,Billing
174,Monopoly,Other
175,Consistently Slow And Throttled Internet Speeds,Internet
176,Paying For High Speed Internet With Comcast. Consistently Getting Slow Service.,Internet
177,Comcast Monopoly On Packages Is Costing Me More Money For Same Service,Billing
178,"Hidden Fees, Dropped Internet Connection",Internet
179,Comcast High Speed Internet Monopoly,Internet
180,Comcast Cable In Maryland,Internet
181,Billing Dispute & Poor Customer Service,Internet
182,Comcast Change Contract,Billing
183,Comcast Throttle,Internet
184,Xfinity Wifi Access,Internet
185,"No Internet, No Cable",Internet
186,Internet Service Slow And Intermittent,Internet
187,Comcast Account,Other
188,Week Long Issues With Speed And No Help From Comcast,Internet
189,Data Usage Cap Maine,Network
190,Comcasts Shady Business Practices,Other
191,Comcast Cable,Internet
192,Comcast Pricing,Billing
193,Comcast Complaint,Grievance
194,Cable,Internet
195,Comcast Charges,Billing
196,Comcast,Other
197,Internet Needed!,Internet
198,Deceptive Practices,Other
199,Comcast Fraud,Other
200,Complaint Cr Comcast Problem - Voip Phone Not Working For Days,Internet
201,Comcast,Other
202,Double-Billing,Billing
203,Download Speeds Slower Than Dial-Up But Paying For 25 Mbps,Internet
204,Comcast Billing Error,Billing
205,Comcast Internet Technical Support,Internet
206,Comcast Blocking Hbogo On Ps4,Other
207,Residentail Broadband Data Caps,Internet
208,Comcast,Other
209,Monthly Charges Increased Without Any Notice,Billing
210,Comcast Internet For Low Income Families,Internet
211,Comcast Internet For Low Income Families,Internet
212,Comcast Service And Customer Service Representative,Network
213,Poor Internet Connection/Dropped Connection Since Installation Of New Modem,Internet
214,Comcast Billing,Billing
215,Bank Fee Refund Reques,Billing
216,Comcast Unfair Charge,Billing
217,Wrongful Billing,Billing
218,Billing Problem,Billing
219,Service Refusal And Lower Than Advertised Speeds.,Internet
220,Comcast - Major Complaint 1St Time Customer - Aggravated Health Issues,Network
221,Connecting The Service,Network
222,Over Charge By Lying,Billing
223,Comcast Keeps Changing Bill And Every Time Gives New Reasons!!,Billing
224,Ad In Craigslist Was A Scam For Selling Product Not Owned,Other
225,Comcast Internet,Internet
226,Comcast Billing After Discontinuation Of Service,Billing
227,Complaint Against Comcast,Grievance
228,Comcast Data Cap,Network
229,Comcast Issues,Other
230,Comcast Charging A Fee Without Disclosing,Billing
231,Increased Bill,Billing
232,"Incorrect Charges, And Would Not Fix",Billing
233,Suspected Throttling,Internet
234,Constant Disruption Of Internet Service,Internet
235,Comcast Unfair Billing Practices,Billing
236,Incorrect Billing And Service From Comcast,Billing
237,Comcast Reduced My Internet Speed,Internet
238,Keep Getting Charged Rental Fees For Modem I Already Own,Internet
239,Dealing With Comcast/Xfinity,Other
240,Over Billing,Billing
241,Billing,Billing
242,Awful Service!,Network
243,Comcast Bad Practices,Other
244,Billing For Equipment That Was Not Provided To Me,Internet
245,Comcast Speed Issues,Internet
246,Technical Support,Network
247,Failure To Supply The Proper Internet Service,Internet
248,Comcast Disconnected My Account Without Reason Or Notice,Other
249,Bad Service/Drop Calls/No Support,Network
250,Modem Rental Fees,Internet
251,Comcast - Issues Galore,Other
252,Monopolistic Behavior,Other
253,Bait And Switch Pricing,Billing
254,Hbo Go Comcast,Other
255,Comcast Slow Internet,Internet
256,Slow Internet Speeds,Internet
257,Comcast Billing Pratice,Billing
258,Comcast Overbilled Me And Added Numerous Hidden Charges,Billing
259,Unfair Billing Practices Of Comcast,Billing
260,Hbo Go Blocked On Amazon Fire Tv,Network
261,Comcast Outage/Poor Service 6/1,Network
262,Comcast Agreement,Other
263,False Contract Repersentation,Billing
264,"Extremely Low Speeds, And No Help",Internet
265,Comcast Throttling Download Speed.,Internet
266,Broadband Interuption,Internet
267,Low Internet Speed,Internet
268,Incorrect Billing,Billing
269,Comcast - Diversified Consultants,Other
270,Comcast Billing For Last @18 Mos For Services They Are Unable Or Unwilling To Provide,Billing
271,Comcast Blocks Hbo Go On Ps4,Other
272,Comcast Data Usage Charges,Billing
273,Comcast Bandwidth Billing Issue,Billing
274,Comcast Internet Speeds,Internet
275,Comcast Slow Internet Service,Internet
276,Comcast Slow Internet,Internet
277,Comcast Internet Freezes Up,Internet
278,Comcast Changed My Account Plan After I Said No About 2-3 Times,Other
279,Lack Of Service From Comcast,Network
280,Comcast,Other
281,Comcast,Other
282,Credit For Service Outage 6/23/15,Network
283,Unauthorized Billing,Billing
284,Billing Overcharges,Billing
285,Internet/Phone,Internet
286,Comcast Throttling My Internet,Internet
287,Double Billing From Comcast,Billing
288,Billing Over Charges,Billing
289,Internet Only,Internet
290,Continuing Overcharges,Billing
291,Home Security Forgery/Fraud,Other
292,2+ Day Degraded Services,Network
293,Internet Bill Too High,Internet
294,Over Paying For My Comcast Services,Billing
295,Fees Not Disclosed Before Service Was Installed,Billing
296,Comcast Service,Network
297,Poor Customer Service,Network
298,Billed For Service Never Received,Billing
299,Comcast,Other
300,Disrupted Internet Service,Internet
301,Comcast Billing / Speed Issues,Internet
302,Have To Bundle Services To Get Advertised Proce.,Network
303,Comcast Policies,Other
304,Internet Throttling,Internet
305,Unfair Billing Practices,Billing
306,Cocmast Billing Issues,Billing
307,Comcast Service That Didn'T Work,Network
308,Data Limit,Network
309,Pricing Is Not Competive,Billing
310,Comcast Billing Practices-Unfair,Billing
311,Comcast,Other
312,Slow Internet,Internet
313,Internet Service,Internet
314,Xfinity False Advertisement,Grievance
315,"Comcast - Constantly Low Speeds, 'Miscommunication' About Billing Errors. Not Responding To Complaints.",Internet
316,Comcast Hbo-Go Application And Sony Products,Other
317,Never Resolved Problem With Comcast,Other
318,Slow Speed With The Entire Connection,Internet
319,Comcast Possibly Throttling My Internet,Internet
320,Comcast Sucks,Other
321,"Issues With Comcast Regarding Service, Billing, Etc",Billing
322,Internet/Tv Billing,Internet
323,Difficulty To Cancel Services Before Moving,Network
324,Comcast Incompetence/Lies/Robbery,Other
325,"Comcast Is ""Forcing"" Bundles On Me While Silently Raising My Bill",Billing
326,Internet Slowdown,Internet
327,Comcast Price,Billing
328,Comcast Fails To Fulfill Request For Internet Service,Internet
329,Hidden Product Installation Fee,Billing
330,2 Months And Comcast Has Not Fixed Problem,Other
331,Fcc Complaint Against Comcast/Xfinity On Providing False Information.,Grievance
332,Comcast Internet,Internet
333,Comcast Internet,Internet
334,Service Issues,Network
335,Comcast Xfinity 300G Over Charge,Billing
336,Internet Availability,Internet
337,Comcast Usage Caps,Network
338,Comcast Data Usage Caps,Network
339,Data Caps And The Extortion Methods Of Comcast,Network
340,No Internet Service,Internet
341,No Service,Network
342,Billing Discrepencies And Service Termination Hurdles,Billing
343,Billing & Data Usage,Billing
344,"Bait And Switch, Unfulfilled Incentives",Network
345,Internet Speed,Internet
346,Comcast Wont Refund Me For Over Charge,Billing
347,Comcast Internet Debacle,Internet
348,Price And Performance Manipulation By Comcast For Isp,Internet
349,Complaint Against Comcast,Grievance
350,Comcast Internet Speed,Internet
351,Comcast Complaint,Grievance
352,Data Caps,Network
353,Comcast Unwilling To Resolve Data Usage Issue,Network
354,Comcast Unwilling To Resolve Data Usage Issue,Network
355,Comcast Data Cap,Network
356,Comcast Data Usage Meter,Network
357,Comcast Internet Data Cap Lies,Internet
358,"Comcast Promised $60 A Month No Fees, Charged $70 + $8 In Fees",Billing
359,Comcast Cable Connection From Street Is Underwater And Structure Is Too High,Internet
360,West Coast Service Issues - Comcast,Network
361,Comcast Refuses To Uhold Contract For 2 Years Phone/Internet,Internet
362,Comcast Business Internet Is Much More Expensive That Home Internet.,Internet
363,Comcast Internet Usage Cap,Internet
364,Comcast Poor Service,Network
365,Comcast Corporation Data Caps,Network
366,Comcast Throttling My Internet Service,Internet
367,Billing/Service Issues,Billing
368,Unethical Charges,Billing
369,Comcast Data Cap,Network
370,Comcast Wrongfully Autodrafted A Final Bill That Was Not Yet Adjusted,Billing
371,Comcast Internet,Internet
372,Comcast Data Cap At 300Gb,Network
373,Internet Speeds Are Throttled,Internet
374,Complex Situation Prevents Bundling Discounts And Drives Service Price Up,Billing
375,Comcast Internet Prices & Speeds,Internet
376,Comcast Overcharging,Billing
377,Reimbursement I'Ve Never Recieved,Other
378,Constant Internet Issues,Internet
379,Xfinity,Other
380,Xfinity/Comcast,Other
381,Comcast Hard Inquiries,Other
382,Comcast Jamming Signal,Other
383,Comcast Lied To Me,Other
384,Terrible Customer Service And Process,Network
385,Comcast & Hbo Go On Ps4,Other
386,Run Around,Other
387,Comcast Service And Customer Service Issues,Network
388,Comcast Pricing Scam,Billing
389,Comcast Disconnect,Other
390,Comcast Throttling Speeds And Data Caps,Internet
391,Closed Captioning Of Online Videos,Network
392,Comcast Problems,Other
393,Removed Discount After I Complained About An Unauthorized Charge,Billing
394,Complaint Regarding Comcast,Grievance
395,Comcast Internet Connection Cheat,Internet
396,Wireless Signal Issues/Frequent Connection Drop,Internet
397,"Comcast Is Ripping Me Off, And I Can'T Be Quiet Anymore",Internet
398,Billing Dispute,Internet
399,Complaint About Comcast,Grievance
400,Comcast,Other
401,Internet Speeds Not As Advertised,Internet
402,Comcast & Sony Playstation Devices,Other
403,Comcast Wifi Issues,Internet
404,Comcast Internet,Internet
405,Comcast,Other
406,Comcast Is Giving Me Poor Quality Customer Service.,Network
407,Comcast No Show Tech,Other
408,Comcast Internet,Internet
409,Horrible Service Charges For Tech/Installation Applied When They Shouldnt Have,Billing
410,Slow Internet/ Billing/ Poor Customer Service Of Your Complaints,Internet
411,No Service,Network
412,Comcast Outages,Outages
413,Comcast Internet Connection And Speed,Internet
414,Comcast Cable & Internet,Internet
415,Comcast: No Service For One Month,Network
416,Comcast,Other
417,Comcast Did Not Remove Charge For Over A Year,Billing
418,Comcast Charging For Services Not Rendered,Billing
419,Price Inflation Due To Monopoly Of Comcast,Billing
420,Double Charge My Internet Service Every Month,Internet
421,Unfair Billing Practices,Billing
422,Comcast Billing/Monopoly/Service,Billing
423,Tricked Into Upgrade,Other
424,Comcast Unfair Business Practices,Other
425,Internet Speeds Slow,Internet
426,Faulty Service And False Advertisement,Network
427,Comcast Started Charging A Lease Fee For Equipment I Own After Enabling Automatic Bill Payment,Internet
428,Comcast/Xfinity Service Manipulation,Internet
429,Unsatisfactory Speed With Disorganized Service,Internet
430,Comcast Billing And Service,Billing
431,Unfair Billing Practices,Billing
432,Xfinity Price And Not 16Mbps When Paying For 50Mbps,Billing
433,Xfinity Order Status,Other
434,Comcast Violating Open Internet Rules,Internet
435,Billing/Customer Service,Billing
436,Comcast Is Double Billing Me And Not Processing My Credit Back To Me,Billing
437,Comcast Internet Speeds,Internet
438,Comcast Lies And Deception,Other
439,Comcast Over Billing,Billing
440,"Comcast Internet, Cable, And Phone Outtages",Internet
441,Internet Connection Outage,Internet
442,Comcast Throttling Internet Speed,Internet
443,"Comcast Xfinity Overage Charges, No Assistance",Billing
444,Service Outages (Comcast),Network
445,Comcast Billing,Billing
446,Charges Not Authorized,Billing
447,Comcast/Xfinity,Other
448,Cocmast (Internet),Internet
449,Comcast/Xfinity,Other
450,Xfinity/Comcast Tethering Connection,Internet
451,"Xfinity ""Comcast"" Closed Scheduled Appt And Said It Was Open",Other
452,Service Issues,Network
453,Comcast Internet Outage,Internet
454,Comcast,Other
455,Additional Usage @$10/50Gb,Billing
456,Comcast Data Caps,Network
457,Comcast Billing Practices,Billing
458,Very Poor Customer Service,Network
459,Internet Speed,Internet
460,Another Fraudulenct Collection Claim From Comcast,Other
461,Comcast And Centurylink Failing Wissler Ranch Colorado Community,Other
462,"Tried To Cancel, Was Lied To About Change In Service",Network
463,Xfinity Throttling Apple Tv Bitrate,Internet
464,Comcast Termination Fee,Billing
465,Unresolved Issues,Other
466,No Warning Before Price Increase,Billing
467,Comcast Unfair Billing,Billing
468,Comcast Overbilling And Overcharging,Billing
469,Comcast Service Complaint,Network
470,Charge To My Bill Unknowingly,Billing
471,Billing,Billing
472,Internet And Phone Pricing,Internet
473,"Worst Speed, No Competition, And Billing Does Not Match The Service.",Internet
474,Comcast Bundled Service,Network
475,Charged For Equipment That I Didn'T Have,Internet
476,"Comcast Misrepresented Their Service Area, Then Charged Me For Attempting To Use It.",Billing
477,Comcast Xfinity,Other
478,Comcast Does Not Deliver Service,Network
479,Slow Internet Speeds On Comcast,Internet
480,Comcast Service,Network
481,Nonsensical Raise In My Internet Bill,Internet
482,Comcast Service Billing,Billing
483,Comcast Runaround,Other
484,Cruel And Illegal Practices - Comcast,Other
485,Throttled Speed,Internet
486,Transfer Services,Network
487,Comcast Agent Lied About Service Upgrade,Network
488,Customer Service Representative Lied About Rates And Promotions,Billing
489,"Comcast Service Corvallis, Or.",Network
490,Unexplained Billing,Billing
491,Comcast/Xfinity Internet,Internet
492,Lack Of Availability,Network
493,Comcast Bill Problems,Billing
494,Unfair Billing Practices,Billing
495,Comcast Data Caps,Network
496,Comcast Internet Is Unbelievably Slow,Internet
497,Comcast Refuse To Refund Rental Fee Made In Error,Billing
498,Comcast,Other
499,Issues With Cable And Internet Packaging Unfair Prices,Internet
500,Comcast Internet Speed And Reliability,Internet
501,Cable Internet,Internet
502,Monopoly And Deceit: The 300Gb Data Cap,Network
503,Comcast Xfinity Home Security Service,Network
504,Comcast Bait And Switch,Network
505,"Comcast Data Cap In Atlanta, Ga",Network
506,Cap On Data Usage,Network
507,Data Cap,Network
508,Data Usage,Network
509,Extorted Into Signing Up For Multi-Year Contract,Billing
510,Comcast Selectively Enforcing Data Caps,Network
511,Comcast Usage Caps,Network
512,Comcast Internet Service Bad Quality,Internet
513,Ping Spikes And Packet Loss,Other
514,Comcast Complaint,Grievance
515,Comcast Phone & Internet Billing Issue,Internet
516,Comcast Xfinity Charging Rental Fee For Personally Owned Modem,Internet
517,Horrific Billing,Billing
518,Comcast / Xfinity Overcharging For Internet / Internet Cap,Internet
519,Comcast Money Grab Using Data Caps,Network
520,Comcast Internet Service Provider,Internet
521,Fraudulent Charges By Comcast,Billing
522,Comcast Data Cap Compliant,Network
523,Billings Charges & Credits,Billing
524,"Comcast Data Cap Limits, Lack Of Competition, And Anti-Competition Business And Billing Practices",Billing
525,Deceptive Billing Practices,Billing
526,Billing Complaint,Billing
527,Comcast Unfair Billing Practices,Billing
528,"Comcast ""Property Access"" Or ""Right Of Entry""",Internet
529,Internet Speed,Internet
530,Robber Barron Billing Practices,Billing
531,Fradualent Claims,Other
532,Xfinity Comcast Hbogo On Ps4,Other
533,Comcast Failure To Respond To User Communication,Other
534,Xfinitty Tv And Exfinity Alarm,Network
535,Internet Speed And Price Of Bundle,Internet
536,Re: Comcast Internet Illegal Charges,Internet
537,Possible Internet Speed Throttling By My Comcast Internet Provider,Internet
538,Slow Speed,Internet
539,Inaccurate Billing,Billing
540,Comcast Internet Pricing,Internet
541,Billing/Contract Issue Related To Data Cap,Billing
542,Comcast Data Billing,Billing
543,Data Caps,Network
544,Comcast,Other
545,Comcast,Other
546,Comcast,Other
547,"Prolonged Internet Outage, Tardy Response",Internet
548,Comcast Internet,Internet
549,Improper Billing From Comcast,Billing
550,Deceptive Sales Tactics,Other
551,Misrepresentation Of Terms,Other
552,"Consumer Fraud - Sell At One Price, Then Advise Price Is Higher",Billing
553,Misleading Communication.,Other
554,Comcast Chat Agent Help,Other
555,Fees,Billing
556,Comcast Cable Company Florida,Internet
557,Misleading Advertising,Other
558,Comcast,Other
559,Unfair Billing Practices Regarding Comcast,Billing
560,Unfair Comcast Bill,Billing
561,Comcast Services,Network
562,Comcast Internet Speeds Extremely Slow,Internet
563,Comcast Internet Service - Billing Problem,Internet
564,Comcast Speed And Billing,Internet
565,Comcast Refusal To Cancel Service Under False Contract Claims,Billing
566,Terrible Service And Ripped Off By Comcast,Internet
567,Extremely Slow Internet Speeds; Horrible Support,Internet
568,Promissed A Package And Then Denied,Other
569,Hbo Go On Playstation 3,Other
570,Comcast Secretly Raising My Bill For Services I Never Agreed To. Again.,Billing
571,Lied About $70 Technician Fee,Billing
572,Internet Too Slow,Internet
573,Internet Speed Drops & Signal On Borderline,Internet
574,Comcast Service For Exterior Line Replacement Billed To Customer,Billing
575,Comcast Complaint,Grievance
576,I Am Being Unfairly Billed,Billing
577,Internet Prices In U.S.A,Internet
578,Comcast Throttling My Speeds For Streaming Video,Internet
579,Consistently Slow Internet Speeds,Internet
580,Internet Speeds Nowhere Close To What I Pay For,Internet
581,Billed Without Service,Billing
582,Slow Internet,Internet
583,"Billed For Modem Rental For Several Years, Comcast Refuses To Refund Under ""Caveat Emptor""",Internet
584,Misleading Information Given,Other
585,Contract Cancellation Fees And Unauthorized Changes,Billing
586,"No Internet Service, No On Demand Service",Internet
587,Internet And On Demand Service,Internet
588,Unfair Charges And Substandard Service,Billing
589,Comcast Automatic Payments,Billing
590,Outage And Unfair Practices,Outages
591,Fraudolent Pratice,Other
592,Comcast Service,Network
593,Comcast Billing Practices,Billing
594,Comcast,Other
595,Comcast Mistreatment,Other
596,Slow Connection Speed For Wifi,Internet
597,"Comcast Speeds Low, And Often Disconnections",Internet
598,Comcast Service,Network
599,Denial Of Refund For Overpayment,Billing
600,Comcast Data Cap,Network
601,Comcast Unfair Billing,Billing
602,Comcast,Other
603,Slow Service,Network
604,Comcast Internet,Internet
605,Comcast,Other
606,Internet Issue,Internet
607,Business Class Service,Network
608,Dns Web Hosting,Other
609,Fraudulent Account,Other
610,Comcast Internet Service Complaint,Internet
611,Billing Issues,Billing
612,Comcast Poor Service Or Throttling,Internet
613,Comcast Refuses To Fix Billing If A Virus Causes Data Usage Over Cap On A System Protected By Their Av,Billing
614,No Broadband Service Provided,Internet
615,Poor Service From Comcast,Network
616,300 Gb Cap,Network
617,Comcast Data Caps,Network
618,"Slow Speeds, Poor Service,.",Internet
619,Billing And Service,Billing
620,Comcast Of Indiana,Other
621,Comcast Trial Of Putting Cap (300 Gb / Month) On Internet Usage.,Internet
622,Comcast Data Caps,Network
623,Comcast Data Cap & Code Injection,Network
624,Comcast Billing/Service,Billing
625,Comcast-Flat Fee Contract-Misrepresentation,Billing
626,Comcast Internet Problems,Internet
627,Comcast Internet Billing,Internet
628,Comcast Xfinity Triple Play,Internet
629,Billing Issues With Comcast,Billing
630,Comcast Internet,Internet
631,Comcast Outage - Bay Area,Outages
632,Comcast Of East Windsor Nj Complaint,Grievance
633,Terrible Comcast Service,Network
634,Complaint Against Comcast For Incredibly Bad Service,Network
635,Data Caps,Network
636,Internet Service Speed,Internet
637,Comcast Xfinity Price Gouging Seniors,Billing
638,Misrepresentation Of Billing,Billing
639,"Constant Non Response, Or Passing To Other Operator. Supervisers Inability To Resolve Of Help. Numerous Lies Told.",Other
640,Comcast Chronic Lies,Other
641,Comcast Internet Only Service,Internet
642,Comcast Broke 36 Month Contract By Increasing Bill...,Billing
643,Unfair Billing Practices,Billing
644,Installation Charges,Billing
645,Comcast Over Charging Bundle Pkg,Billing
646,Comcast/Xfinity Data Allowance,Network
647,Pricing,Billing
648,60 Days To Close My Account,Other
649,Fraudulent Billing By Comcast.,Billing
650,Comcast Failed To Switch Our Systems To New Location And Shut Down The Current Location,Network
651,Comcast Slamming Issue,Other
652,Please Stop Broadband Bandwidth Caps,Internet
653,Comcast Internet In Emeryville Throttles Speed,Internet
654,Pricing Concerns,Billing
655,"95 Palmer Road, Enfield Nh Internet Pricing",Internet
656,"Overpriced, Low Quality Service",Billing
657,Bundled Service,Network
658,Comcast Customer Service And Billing Complaint,Billing
659,Comcast Throttling,Internet
660,"Lack Of Service, Service Call Complaint",Network
661,"Lack Of Service, Service Call Complaint",Network
662,Comcast Fradulent Marketing And Billing For Internet,Internet
663,Unreliable Service For The Past Three Years,Network
664,Comcast Has Doubled My Internet Fee Without Warning,Internet
665,Frequent Disconnects,Other
666,Billing Issue,Billing
667,Comcast Unfair Billing Practices,Billing
668,Comcast Deceptive Selling Billing Lack Of Service - Second And Expanded Complaint,Billing
669,Comcast Complaint About Internet Speed,Internet
670,Comcast Billing Issues,Billing
671,Comcast (Chicago Il),Other
672,No Internet For Last 6 Days And Comcast Is Not Doing Anything,Internet
673,Comcast Price Gouging,Billing
674,Unable To Renew Ip Address,Internet
675,Comcast,Other
676,Comcast,Other
677,Comcast Issues,Other
678,Comcast Will Not Service Our Home,Network
679,Comcast/Xfinity,Other
680,Comcast Billing And Service Issues,Billing
681,Poor Service,Network
682,Data Cap,Network
683,Comcast,Other
684,Internet Billing,Internet
685,Comcast Fluctuating Prices,Billing
686,Recurring Comcast Service Issues And Long Waits For Non-Service,Network
687,Multiple Billing An Dcompetative Issues.,Internet
688,Comcast Fraudualent Billing,Billing
689,Comcast Service,Network
690,Re: Internet Too Expensive,Internet
691,Charged For Services Not Provided,Billing
692,Paying For Wifi And Its Not Working,Internet
693,Isp Data Cap,Internet
694,Internet Connection And Speed Issues,Internet
695,Comcast Internet,Internet
696,Comcast Will Not Provide Online Content Without Cable Box,Internet
697,Internet Cap,Internet
