Complaint Catagory,clean
Internet,wireless signal issuesfrequent connection drop
Internet,comcast is ripping me off and i ca nt be quiet anymore
Internet,billing dispute
Grievance,complaint about comcast
Other,comcast
Internet,internet speeds not as advertised
Other,comcast sony playstation devices
Internet,comcast wifi issues
Internet,comcast internet
Other,comcast
Network,comcast is giving me poor quality customer service
Other,comcast no show tech
Internet,comcast internet
Billing,horrible service charges for techinstallation applied when they shouldnt have
Internet,slow internet billing poor customer service of your complaints
Network,no service
Outages,comcast outages
Internet,comcast internet connection and speed
Internet,comcast cable internet
Network,comcast no service for one month
Other,comcast
Billing,comcast did not remove charge for over a year
Billing,comcast charging for services not rendered
Billing,price inflation due to monopoly of comcast
Internet,double charge my internet service every month
Billing,unfair billing practices
Billing,comcast billingmonopolyservice
Other,tricked into upgrade
Other,comcast unfair business practices
Internet,internet speeds slow
Network,faulty service and false advertisement
Internet,comcast started charging a lease fee for equipment i own after enabling automatic bill payment
Internet,comcastxfinity service manipulation
Internet,unsatisfactory speed with disorganized service
Billing,comcast billing and service
Billing,unfair billing practices
Billing,xfinity price and not 16mbps when paying for 50mbps
Other,xfinity order status
Internet,comcast violating open internet rules
Billing,billingcustomer service
Billing,comcast is double billing me and not processing my credit back to me
Internet,comcast internet speeds
Other,comcast lies and deception
Billing,comcast over billing
Internet,comcast internet cable and phone outtages
Internet,internet connection outage
Internet,comcast throttling internet speed
Billing,comcast xfinity overage charges no assistance
Network,service outages comcast
Billing,comcast billing
Billing,charges not authorized
Other,comcastxfinity
Internet,cocmast internet
Other,comcastxfinity
Internet,xfinitycomcast tethering connection
Other,xfinity comcast closed scheduled appt and said it was open
Network,service issues
Internet,comcast internet outage
Other,comcast
Billing,additional usage 1050gb
Network,comcast data caps
Billing,comcast billing practices
Network,very poor customer service
Internet,internet speed
Other,another fraudulenct collection claim from comcast
Other,comcast and centurylink failing wissler ranch colorado community
Network,tried to cancel was lied to about change in service
Internet,xfinity throttling apple tv bitrate
Billing,comcast termination fee
Other,unresolved issues
Billing,no warning before price increase
Billing,comcast unfair billing
Billing,comcast overbilling and overcharging
Network,comcast service complaint
Billing,charge to my bill unknowingly
Billing,billing
Internet,internet and phone pricing
Internet,worst speed no competition and billing does not match the service
Network,comcast bundled service
Internet,charged for equipment that i did nt have
Billing,comcast misrepresented their service area then charged me for attempting to use it
Other,comcast xfinity
Network,comcast does not deliver service
Internet,slow internet speeds on comcast
Network,comcast service
Internet,nonsensical raise in my internet bill
Billing,comcast service billing
Other,comcast runaround
Other,cruel and illegal practices - comcast
Internet,throttled speed
Network,transfer services
Network,comcast agent lied about service upgrade
Billing,customer service representative lied about rates and promotions
Network,comcast service corvallis or
Billing,unexplained billing
Internet,comcastxfinity internet
Network,lack of availability
Billing,comcast bill problems
Billing,unfair billing practices
Network,comcast data caps
Internet,comcast internet is unbelievably slow
Billing,comcast refuse to refund rental fee made in error
Other,comcast
Internet,issues with cable and internet packaging unfair prices
Internet,comcast internet speed and reliability
Internet,cable internet
Network,monopoly and deceit the 300gb data cap
Network,comcast xfinity home security service
Network,comcast bait and switch
Network,comcast data cap in atlanta ga
Network,cap on data usage
Network,data cap
Network,data usage
Billing,extorted into signing up for multi-year contract
Network,comcast selectively enforcing data caps
Network,comcast usage caps
Internet,comcast internet service bad quality
Other,ping spikes and packet loss
Grievance,comcast complaint
Internet,comcast phone internet billing issue
Internet,comcast xfinity charging rental fee for personally owned modem
Billing,horrific billing
Internet,comcast xfinity overcharging for internet internet cap
Network,comcast money grab using data caps
Internet,comcast internet service provider
Billing,fraudulent charges by comcast
Network,comcast data cap compliant
Billing,billings charges credits
Billing,comcast data cap limits lack of competition and anti-competition business and billing practices
Billing,deceptive billing practices
Billing,billing complaint
Billing,comcast unfair billing practices
Internet,comcast property access or right of entry
Internet,internet speed
Billing,robber barron billing practices
Other,fradualent claims
Other,xfinity comcast hbogo on ps4
Other,comcast failure to respond to user communication
Network,xfinitty tv and exfinity alarm
Internet,internet speed and price of bundle
Internet,re comcast internet illegal charges
Internet,possible internet speed throttling by my comcast internet provider
Internet,slow speed
Billing,inaccurate billing
Internet,comcast internet pricing
Billing,billingcontract issue related to data cap
Billing,comcast data billing
Network,data caps
Other,comcast
Other,comcast
Other,comcast
Internet,prolonged internet outage tardy response
Internet,comcast internet
Billing,improper billing from comcast
Other,deceptive sales tactics
Other,misrepresentation of terms
Billing,consumer fraud - sell at one price then advise price is higher
Other,misleading communication
Other,comcast chat agent help
Billing,fees
Internet,comcast cable company florida
Other,misleading advertising
Other,comcast
Billing,unfair billing practices regarding comcast
Billing,unfair comcast bill
Network,comcast services
Internet,comcast internet speeds extremely slow
Internet,comcast internet service - billing problem
Internet,comcast speed and billing
Billing,comcast refusal to cancel service under false contract claims
Internet,terrible service and ripped off by comcast
Internet,extremely slow internet speeds horrible support
Other,promissed a package and then denied
Other,hbo go on playstation 3
Billing,comcast secretly raising my bill for services i never agreed to again
Billing,lied about 70 technician fee
Internet,internet too slow
Internet,internet speed drops signal on borderline
Billing,comcast service for exterior line replacement billed to customer
Grievance,comcast complaint
Billing,i am being unfairly billed
Internet,internet prices in usa
Internet,comcast throttling my speeds for streaming video
Internet,consistently slow internet speeds
Internet,internet speeds nowhere close to what i pay for
Billing,billed without service
Internet,slow internet
Internet,billed for modem rental for several years comcast refuses to refund under caveat emptor
Other,misleading information given
Billing,contract cancellation fees and unauthorized changes
Internet,no internet service no on demand service
Internet,internet and on demand service
Billing,unfair charges and substandard service
Billing,comcast automatic payments
Outages,outage and unfair practices
Other,fraudolent pratice
Network,comcast service
Billing,comcast billing practices
Other,comcast
Other,comcast mistreatment
Internet,slow connection speed for wifi
Internet,comcast speeds low and often disconnections
Network,comcast service
Billing,denial of refund for overpayment
Network,comcast data cap
Billing,comcast unfair billing
Other,comcast
Network,slow service
Internet,comcast internet
Other,comcast
Internet,internet issue
Network,business class service
Other,dns web hosting
Other,fraudulent account
Internet,comcast internet service complaint
Billing,billing issues
Internet,comcast poor service or throttling
Billing,comcast refuses to fix billing if a virus causes data usage over cap on a system protected by their av
Internet,no broadband service provided
Network,poor service from comcast
Network,300 gb cap
Network,comcast data caps
Internet,slow speeds poor service
Billing,billing and service
Other,comcast of indiana
Internet,comcast trial of putting cap 300 gb month on internet usage
Network,comcast data caps
Network,comcast data cap code injection
Billing,comcast billingservice
Billing,comcast-flat fee contract-misrepresentation
Internet,comcast internet problems
Internet,comcast internet billing
Internet,comcast xfinity triple play
Billing,billing issues with comcast
Internet,comcast internet
Outages,comcast outage - bay area
Grievance,comcast of east windsor nj complaint
Network,terrible comcast service
Network,complaint against comcast for incredibly bad service
Network,data caps
Internet,internet service speed
Billing,comcast xfinity price gouging seniors
Billing,misrepresentation of billing
Other,constant non response or passing to other operator supervisers inability to resolve of help numerous lies told
Other,comcast chronic lies
Internet,comcast internet only service
Billing,comcast broke 36 month contract by increasing bill
Billing,unfair billing practices
Billing,installation charges
Billing,comcast over charging bundle pkg
Network,comcastxfinity data allowance
Billing,pricing
Other,60 days to close my account
Billing,fraudulent billing by comcast
Network,comcast failed to switch our systems to new location and shut down the current location
Other,comcast slamming issue
Internet,please stop broadband bandwidth caps
Internet,comcast internet in emeryville throttles speed
Billing,pricing concerns
Internet,95 palmer road enfield nh internet pricing
Billing,overpriced low quality service
Network,bundled service
Billing,comcast customer service and billing complaint
Internet,comcast throttling
Network,lack of service service call complaint
Network,lack of service service call complaint
Internet,comcast fradulent marketing and billing for internet
Network,unreliable service for the past three years
Internet,comcast has doubled my internet fee without warning
Other,frequent disconnects
Billing,billing issue
Billing,comcast unfair billing practices
Billing,comcast deceptive selling billing lack of service - second and expanded complaint
Internet,comcast complaint about internet speed
Billing,comcast billing issues
Other,comcast chicago il
Internet,no internet for last 6 days and comcast is not doing anything
Billing,comcast price gouging
Internet,unable to renew ip address
Other,comcast
Other,comcast
Other,comcast issues
Network,comcast will not service our home
Other,comcastxfinity
Billing,comcast billing and service issues
Network,poor service
Network,data cap
Other,comcast
Internet,internet billing
Billing,comcast fluctuating prices
Network,recurring comcast service issues and long waits for non-service
Internet,multiple billing an dcompetative issues
Billing,comcast fraudualent billing
Network,comcast service
Internet,re internet too expensive
Billing,charged for services not provided
Internet,paying for wifi and its not working
Internet,isp data cap
Internet,internet connection and speed issues
Internet,comcast internet
Internet,comcast will not provide online content without cable box
Internet,internet cap
Other,lack of reasonable infrastructure close to town
Internet,comcast throttling speeds
Other,comcast
Internet,comcast throttling my internet
Internet,un able to access my email address after relocae to a new address
Internet,internet speed issues with comcast and picture freezing issues when watching tv
Other,systemic failures with comcast
Other,comcastxfinity
Internet,comcast internet and lack of communication and response
Billing,billing issues
Billing,comcast knowingly over billed
Network,horribleunacceptable service of comcast
Billing,comcast overcharge
Other,deceptive trade
Billing,comcast demanding payment after cancellation
Internet,no internet
Billing,xfinity promise to pay me 300 to join
Other,comcast issues
Internet,internet provider data thresholds
Internet,comcast cable
Network,comcast data cap
Network,comcast data caps
Other,comcast
Network,comcast data cap
Internet,routine outages speeds never as promised
Other,comcast business keeps moving my same-day trouble appointment to the next day
Internet,comcast cable company
Billing,comcast billing
Internet,lack of hbo go availability on sony devices with xfinity subscription
Billing,overcharged 30 per month for 10 months straight
Billing,raising my rate
Billing,unfair comcast billing
Billing,comcast fradulently gets contract signed by my wife
Billing,comcast charging me unrelated charges
Billing,ridiculous charges
Grievance,complaint against comcast
Billing,arbitrary price increase
Billing,comcast billing complaint
Internet,internet speed deteriation
Internet,internet speed on wireless connection
Internet,internet
Internet,intermittent internet
Other,deceptive trade
Billing,improper billing and non resolution of issues
Billing,lost emailsbilling
Billing,comcastxfinity poor service fraudulent billing and collection
Network,monthly data caps
Billing,comcast data charges
Internet,inability to get access to internet through comcast or at t
Billing,paying for an upgrade that never took place
Internet,bill issues internet and disability comcast prices
Internet,not receiving advertised speed
Internet,xfinity internet speed
Billing,comcast billing
Network,nightly service interruption
Other,netflix is slow
Network,comcast wont service my address
Internet,can not access my email or service at all
Network,xfinitycomcast service
Other,unclear policies
Network,300gbmonth data cap
Internet,comcastxfinity- paying for high speed service
Internet,comcastxfinity- paying for high speed service
Billing,overage charges
Internet,comcast internet and cable deals
Billing,comcast bundle billing
Internet,comcast internet speedquality of service and price
Internet,internet bundled with tv
Internet,consistent speedconnectivity with internet
Other,comcast is ignoring me now they are making no attempt to correct problems
Network,data caps
Other,na b 6
Billing,unfair billing practices
Billing,comcast bundle price
Billing,wrongful billing - repeated since december 2013
Billing,comcast has charged me invalid fee s and wont re-imburse me for them
Network,comcastxfinity service
Other,comcast bundled
Other,somewhat threatening phone calls
Network,data cap overages
Internet,internet virus pop up scam claiming to be with comcast
Internet,intermittent internet connection
Billing,raised my bill and told me to lower it back to what it was i would have to make a 24 month agreement
Other,comcast
Internet,comcast internet
Other,comcast
Internet,issues with comcast customer service due to loss of internet
Internet,speeds being throttled
Internet,internet essentials for low income families
Other,hearsts magazine contest scam
Other,comcast
Other,comcast
Internet,comcast internet service
Other,comcast bundles
Other,comcast fraud
Billing,comcast surprise increase in charges
Internet,internet problems
Other,comcast rrefund owing to us since 3122015
Billing,still overcharged
Internet,charged for speeds they can not provide
Other,comcast deception
Internet,comcast - slow down imternet speed
Network,data caps
Billing,comcast billing complaint
Other,frequent interruptions
Billing,comcast overbilling
Internet,throttling by comcastxfinity
Internet,no internet last 4 days even after more than 10 calls and spending 10 hours with comcast on phone
Billing,comcast slammingovercharge
Internet,speeds received are not as advertised
Internet,comcast throttling speeds
Billing,comcast billing
Billing,fraudulent billing by comcast
Internet,comcast throttling
Internet,throttle of my internet access speeds by comcast
Internet,comcast overcharge for internet service for over one year
Network,not receiving refund of service from comcast for over 90 days
Other,unfair and deceptive trade practices
Internet,comcast bill internet usage
Network,comcast data cap
Billing,over billing issues
Billing,comcast billing practices
Billing,high payment
Network,comcast support
Internet,comcast internetcable contacted them over the phone and chat
Network,comcast usage data plan
Network,comcast data usage caplimit
Internet,cable
Billing,charges
Network,comcast data caps
Network,comcast data usage cap
Internet,comcast keeps charging for me for over the limit internet - when says we have unlimited
Billing,data overage charges
Internet,no internet
Network,continues services interruptions causing losses to my business
Network,comcast blocking services
Billing,fake charges
Billing,billing issuesservice issues
Billing,comcast charging fee without warning
Network,comcast service levels
Billing,one sided contracts
Billing,comcast fraudulent charges
Billing,comcast data useage caps and charges
Internet,comcast cable unauthorized charges
Internet,comcast cable unauthorized charges
Billing,comcast fraudulent pricing and practices
Other,comcast and competition
Other,comcastearthlink
Internet,speed throttling
Internet,charged doublespeeds throttled
Billing,comcast rate hike
Internet,internet speed
Other,comcast xfinity
Internet,internet cable alarm
Internet,phone internet cable alarm
Internet,comcast service overcharge for internet and phone
Internet,billing and internet connection
Internet,comcast internet price high
Other,comcast
Network,comcast refuses to service address
Billing,overcharge promo end
Billing,hang-ups lies bill more than 2x higher more
Other,lies and deception
Other,comcast refuses to refund deposit according to initial terms
Network,comcast data caps
Network,data cap
Billing,comcast contract problem
Network,intermittent service
Billing,comcast-overcharges
Other,comcast
Billing,monthly bill
Network,deceptive business practice with service protection plan
Billing,billing error
Network,unreliable service
Billing,billing and threats
Internet,horrible internet speed not what i pay for
Network,comcast service failure
Billing,incomplete billing cycle
Internet,internet system reliability
Billing,faulty bill for more profit
Billing,comcast - overchargingunnecessary charges
Internet,throttling by comcast
Internet,billed for internet service that was never installed
Billing,billing and new account issues
Internet,comcast high prices and throttling speeds
Internet,comcast predatory pricing forcing purchase of cable
Billing,comcast billing
Internet,speedpricing
Internet,comcast internet slow
Internet,the monthly bill for my internet service has become too expensive
Internet,throttling
Internet,comcast internet service complaint
Internet,poor quality service multiple disconnections prior to disconnect date and after i have made payments still got disconnected multiple times
Other,comcast
Other,being lied to and mislead by comcast xfinity
Internet,internet connection not available
Network,comcast service issues
Billing,comcast bundles useless services to charge more
Network,comcast failed to deliver service that was advertised
Billing,comcast wont honor discount bill higher than what was agreed
Internet,poor customer service terrible internet speeds prices are way too high
Network,comcast bundle promotion bait and switch
Internet,comcast internet service large increases improper billings on promtions for one yr
Internet,comcast refused to install internet
Other,text on facebook
Network,comcast customerxfinitycom
Internet,low internet speed complaint against comcast xfinity houston texas
Billing,billing and false advertising
Billing,comcast charging service fee to customer -- customer did nt cause issue
Other,comcast
Network,unable to get in touch with anyone that has the power to cancel my services
Network,comcast s data caps are anti-consumer
Other,hbogo on ps4
Internet,throttled speed during peak hours
Billing,customer service lied about extra fees
Network,xfinity data cap
Network,comcast services
Billing,charged for activation kit that was never sent needed or used
Billing,adding services not requested and increasing fees without notification
Billing,renewed contract without my permission or consent
Billing,ongoing issue with bill supervisors issue not fixed
Other,comcast
Network,comcast failure to provide adequate service
Billing,assessing unjustified late fees
Billing,unable to fully use services and high bills
Other,comcast
Other,comcast in indianapolis scam
Billing,comcast billing
Network,comcast customer care racism
Network,comcast customer care racism
Internet,internet and service
Other,hbo should nt have a load time
Network,comcast customer service agents lie about offers to switch
Billing,comcast technicalcustomer service and billing problems
Internet,comcastxfinity internet gouging
Billing,pricing problems even after promises
Network,comcast business services-email accounts
Internet,keep getting charged for modem rental and i bought my own 7 months ago
Billing,comcast billing
Internet,internet service provider comcast harassing me to return equipment i already returned
Network,comcast service
Internet,throttling
Other,continued calls from comcast
Other,installation
Other,comcastxfinity
Internet,internet being throttled by comcast
Internet,service connection issues increased billing bad service unfair trade practices
Network,comcast - virtually no service since october 2014
Internet,recurring billing discrepancy regarding modem
Network,comcast data usage robbing us
Billing,false advertising and overcharging
Internet,xfinity internet
Billing,overchargedexcessive bill
Internet,internet fraud
Internet,comcast internet provider-jacksonville florida
Internet,internet service changes between comcast business comcast residential
Internet,can not access onlinebilling account to pay bill account info changed without authorization
Other,continued issue
Internet,internet only deal
Network,customer service from comcast
Billing,comcast service billing
Internet,comcast speed issue after evening
Billing,comcast has not applied credit of close to 400
Grievance,comcast complaint
Internet,monopoly fraudulent broadband speedtest results
Other,comcast refuses to serve my address
Network,customer service nightmare
Other,commercial property damage
Network,non working service with comcast
Internet,issue with internet service
Internet,comcast cable tv
Grievance,complaints about comcast
Other,comcast
Other,comcast becoming a hassle
Other,comcast
Other,fraud
Network,comcast customer service
Internet,comcast internet services and customer service is horrible
Internet,loss of internet connection
Other,internat essential
Network,lack of service and misleading promises
Network,comcast service
Internet,comcast internet complaint
Network,comcast services not working
Billing,comcast charging ridiculous prices
Internet,comcast internet service
Internet,comcast internet performance
Internet,comcast internet claiming 25 mbps internet but i get only 3 mbps and customer service representative hung up call repeateadly
Billing,long term billing issue with rude customer service caused depression and trauma
Billing,comcast incorrect and confusing billing
Billing,data caps monthly prices
Other,installation request - new subdivision - jesup ga
Other,comcast grievance
Network,comcast -exfinity customer service errors lies and wasted time
Network,comcast -exfinity customer service errors lies and wasted time
Network,comcast very bad rude customer service
Internet,billing dispute
Internet,comcast cable
